title,source,published_at,description,url
Get Unai Simon’s Spain goalkeeper jersey after his record-setting World Cup,USA Today,2026-07-20T18:26:51Z,Shop Unai Simon’s Spain goalkeeper jersey and celebrate the Golden Glove winner’s record-breaking World Cup performance.,https://www.usatoday.com/story/sports/soccer/worldcup/2026/07/20/world-cup-spain-unai-simon-golden-glove-how-to-buy-jersey/90980691007/
US air base in Jordan suffers extensive damage from Iranian strikes,Crypto Briefing,2026-07-20T18:26:35Z,"US air base in Jordan suffers extensive damage from Iranian strikes. Iranian military action against a Gulf state on July 22 at 51% YES.
The post US air base in Jordan suffers extensive damage from Iranian strikes appeared first on Crypto Briefing.",https://cryptobriefing.com/us-air-base-in-jordan-suffers-extensive-damage-from-iranian-strikes/
New NASA Earth Missions Gear Up to Start Science Flights,NASA,2026-07-20T18:25:11Z,The first of six new airborne campaigns will hit the skies this summer.,https://science.nasa.gov/earth/new-nasa-earth-missions-gear-up-to-start-science-flights/
Trump Vows Netanyahu Won't Be Arrested After Mamdani Suggests Capture In NYC,Forbes,2026-07-20T18:24:58Z,"Netanyahu has regularly attended the annual UN General Assembly in New York City, but Mayor Zohran Mamdani has suggested he could be arrested at September’s event.",https://www.forbes.com/sites/maryroeloffs/2026/07/20/trump-vows-netanyahu-wont-be-arrested-after-mamdani-suggests-capture-in-nyc/
Is It Just Me or Did We All Feel Good as Hell During the World Cup?,esquire.com,2026-07-20T18:24:46Z,"One fan reflects on the joy, chaos, and shared humanity of experiencing the 2026 World Cup across North America.",https://www.esquire.com/sports/a73191430/world-cup-2026-brought-us-together/
Trump vows Iran will ‘pay’ for killing US soldiers,Al Jazeera English,2026-07-20T18:21:39Z,"The US intensifies air strikes on Iran, targeting critical sites after the deaths of American soldiers in the region.",https://www.aljazeera.com/news/2026/7/20/trump-vows-iran-will-pay-for-killing-us-soldiers
"Energy shock vs AI boom: RBI should act as and when external shocks push domestic data in a direction, not until then",The Times of India,2026-07-20T18:20:39Z,"Global growth faces pressure from an energy shock and a tech boom.  The energy shock stems from conflict, impacting oil prices and shipping routes.  Meanwhile, an AI boom supports growth, particularly in the United States.  India's monetary policy must naviga…",https://economictimes.indiatimes.com/opinion/et-commentary/energy-shock-vs-ai-boom-rbi-should-act-as-and-when-external-shocks-push-domestic-data-in-a-direction-not-until-then/articleshow/132522377.cms
US may escalate Iran military op soon,Biztoc.com,2026-07-20T18:19:07Z,"The United States is preparing to escalate its military campaign against Iran in the coming days, according to an Israeli security source cited by i24NEWS.Operational plans are reportedly ready and aw...",https://biztoc.com/x/7ca24ece13080b8e
English Singer Robbie Williams Responds After Having Sobriety Questioned At World Cup,BroBible,2026-07-20T18:18:17Z,English singer Robbie Williams was accused of drug use while on a World Cup broadcast during the final between Argentina and Spain. He has responded to those unverified claims on social media. Williams denied using drugs. A far less controversial ingestant wa…,https://brobible.com/culture/article/robbie-williams-response-sobriety-world-cup-gaffe/
"Secret Service is examining apparent Iranian video outlining Trump motorcade routes, assassination opportunities",Nextgov,2026-07-20T18:18:00Z,"The agency said it is looking into the Persian-language video, which uses polished, apparently AI-generated graphics to depict supposed motorcade routes in Florida and New York.",https://www.nextgov.com/cybersecurity/2026/07/secret-service-examining-apparent-iranian-video-outlining-trump-motorcade-routes-assassination-opportunities/414881/
Trump openly ridiculed live on German TV as World Cup broadcasters let loose,Raw Story,2026-07-20T18:16:52Z,"German broadcasters mocked President Donald Trump and FIFA President Gianni Infantino live during the World Cup final after Trump was handed the tournament trophy to present.On Sunday, Trump became the first sitting U.S. president to attend a World Cup final,…",https://www.rawstory.com/trump-world-cup-2677248042/
Iran: 2 oil tankers in Strait of Hormuz have exploded,Freerepublic.com,2026-07-20T18:16:02Z,"Iran's Islamic Revolutionary Guard Corps (IRGC) on Monday said two ""deviant"" oil tankers exploded after passing through the Strait of Hormuz.The IRGC said the ships exploded after they tried to enter and exit the strait through an ""unsafe route,"" according to…",https://freerepublic.com/focus/f-news/4388677/posts
